,City,Operation,Time block,Delay
1555,Tel Aviv-Yafo,Departure,23,2.0
1556,Granada,Arrival,0,7.0
1557,Pisa,Arrival,0,-1.0
1558,Milan,Arrival,0,0.0
1559,Athens,Arrival,0,58.0
1560,Edinburgh,Arrival,0,16.0
1561,Vienna,Arrival,0,-5.0
1562,Nantes,Arrival,0,-6.0
1563,Las Palmas,Arrival,0,-11.0
1564,Marrakech,Arrival,0,32.0
1565,Porto,Arrival,0,-24.0
1566,Tenerife,Arrival,1,-19.0
1567,London,Arrival,1,-15.0
1568,Algiers,Arrival,2,-31.0
1569,Madrid,Arrival,7,-14.0
1570,Palma Mallorca,Arrival,7,-20.0
1571,Alicante,Arrival,8,-10.0
1572,Asturias,Arrival,8,-17.0
1573,Santiago De Compostela,Arrival,8,-28.0
1574,La Coruna,Arrival,8,-30.0
1575,Rome,Arrival,8,5.0
1576,Bilbao,Arrival,9,-11.0
1577,Amsterdam,Arrival,9,-7.0
1578,Palma Mallorca,Arrival,9,12.0
1579,Algiers,Arrival,9,-31.0
1580,San Sebastian,Arrival,9,-7.0
1581,Ibiza,Arrival,9,-9.0
1582,Menorca,Arrival,9,-18.0
1583,Alicante,Arrival,9,-16.0
1584,Bilbao,Arrival,10,-21.0
1585,Madrid,Arrival,10,40.0
1586,Asturias,Arrival,10,-11.0
1587,Florence,Arrival,10,-4.0
1588,Nice,Arrival,10,-6.0
1589,Sevilla,Arrival,10,0.0
1590,Porto,Arrival,10,-22.0
1591,Malaga,Arrival,11,-1.0
1592,Granada,Arrival,11,-24.0
1593,Tangier,Arrival,11,2.0
1594,Geneva,Arrival,11,26.0
1595,Paris,Arrival,11,5.0
1596,Las Palmas,Arrival,11,-27.0
1597,Tenerife,Arrival,11,-10.0
1598,Menorca,Arrival,11,-12.0
1599,Rome,Arrival,11,8.0
1600,Milan,Arrival,11,4.0
1601,Marrakech,Arrival,11,-31.0
1602,Brussels,Arrival,11,-8.0
1603,Ibiza,Arrival,11,-17.0
1604,Lisbon,Arrival,11,-11.0
1605,Munich,Arrival,12,4.0
1606,Paris,Arrival,12,-19.0
1607,Amsterdam,Arrival,12,33.0
1608,London,Arrival,12,45.0
1609,Madrid,Arrival,13,24.0
1610,Vienna,Arrival,13,10.0
1611,Prague,Arrival,13,-18.0
